Frame_Number,Pedestrian_ID,X_Position,Y_Position,Distance_Increment,Robot_Presence,Robot_Type,Robot_Influence,X_Robot,Y_Robot
1737975949224,110,2.21713692637898,-5.63444802315525,0.0432509144588269,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975949290,110,2.25886669221684,-5.62360931063539,0.0431143948811844,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975949357,110,2.30029360783959,-5.61212505925594,0.0429892703794863,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975949423,110,2.34141767324723,-5.59999526901691,0.0428756407170158,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975949490,110,2.38223888843975,-5.58721993991828,0.0427735975032803,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975949556,110,2.42275725341717,-5.57379907196006,0.0426832238378837,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975949623,110,2.46297276817947,-5.55973266514225,0.042604593981882,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975949689,110,2.50288543272666,-5.54502071946485,0.0425377730596154,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975949757,110,2.54249524705874,-5.52966323492786,0.0424828167936833,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975949823,110,2.59958410976355,-5.506673771949,0.0615439164579624,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975949890,110,2.63650335342143,-5.49066840054443,0.0402393149304082,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975949957,110,2.67310872311627,-5.47316224755054,0.0405760826490335,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975950024,110,2.71202950170392,-5.45499789460979,0.0429507942141349,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975950090,110,2.75164169918428,-5.43562524678268,0.0440956423363637,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975950157,110,2.79156884531803,-5.41493124631633,0.0449713092280765,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975950223,110,2.82997838674104,-5.39308063260519,0.04418984263243,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975950290,110,2.86757220733619,-5.37067045845812,0.043766554036645,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975950357,110,2.90451877216917,-5.34801000641158,0.0433421819929621,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975950424,110,2.94334170226365,-5.32602098575947,0.044617675089134,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975950490,110,2.98155020972112,-5.30446209928496,0.0438711252209113,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975950557,110,3.01924524409842,-5.28230693190271,0.0437237585122849,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975950623,110,3.05625271216718,-5.25863011747533,0.0439334068140532,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975950690,110,3.09292270122085,-5.23347090496343,0.0444710475637313,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975950757,110,3.12952824542088,-5.20683042917606,0.0452734007598026,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975950823,110,3.16565381792093,-5.17880283791332,0.0457231107914537,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975950890,110,3.20089288904062,-5.14968205969227,0.0457144600490734,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975950957,110,3.23528188663433,-5.1203839226895,0.0451772507721841,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975951023,110,3.26882364072076,-5.09119213138696,0.0444658289773849,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975951090,110,3.30183083067514,-5.06260122249687,0.0436682339904624,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975951156,110,3.33475509536025,-5.03435902637158,0.0433777459884057,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975951223,110,3.36750645176317,-5.00528332919168,0.0437955193225086,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975951290,110,3.39979186253069,-4.97477524693905,0.0444194870654829,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975951356,110,3.43146455980463,-4.94272095495596,0.0450625941013602,1,Go1,neutral,1.38754570311004,12.8948963503557
